url,nombre,archivo,alimentos,viajes,moda,hogar,educacion,marketing,joyeria,familia,gamificacion,solidaridad,empatia,seguridad,sostenibilidad,confianza,fidelidad,lealtad,respeto,compasion,compromiso,amor,honestidad,responsabilidad,felicidad,sencillez,tranquilidad,apoyo,flexibilidad,joven,adulta,creativa,innovadora,clasica,tradicional,artesanal,tecnologica,racional,emocional,masculina,femenina,global,local,premium,popular,juguetona,seria,autoridad,amigable
/images/db/sandia.png,sandia,imagen,5,3,4,4,3,3,5,5,3,4,2,3,5,3,5,4,3,4,3,4,3,2,4,4,3,3,3,5,3,5,3,4,4,3,3,5,5,2,5,3,5,3,3,5,3,2,5
/images/db/arandanos.png,arandanos,imagen,5,3,4,4,3,4,3,1,3,2,2,3,5,3,4,5,4,4,3,5,4,3,2,4,2,2,3,3,2,3,3,3,3,5,3,3,5,4,2,3,5,5,3,3,5,5,2
/images/db/mora.png,mora,imagen,5,3,3,4,3,3,3,4,3,2,2,3,5,3,4,3,3,4,3,5,3,3,2,4,3,4,3,2,3,3,3,3,4,2,3,3,5,2,5,3,5,3,3,4,3,3,3
/images/db/kiwi.png,kiwi,imagen,5,3,3,4,3,5,5,4,3,4,2,3,5,3,4,2,3,3,3,4,4,4,4,4,2,3,5,3,3,4,3,3,4,2,3,3,5,5,2,3,5,5,3,4,4,4,3
/images/db/aguacate.png,aguacate,imagen,5,3,4,5,2,2,3,5,4,3,3,4,4,3,3,3,4,5,4,3,4,3,3,3,3,3,2,2,4,3,2,5,5,5,2,4,3,5,2,2,5,2,5,2,4,5,3
/images/db/papaya.png,papaya,imagen,5,3,2,5,3,3,2,4,2,4,3,3,3,2,2,3,2,3,3,3,3,4,5,2,3,3,4,3,3,3,3,3,4,4,2,3,3,3,4,3,4,2,3,4,2,3,2
/images/db/cereza.png,cereza,imagen,5,4,4,3,2,4,2,3,3,3,3,4,5,3,4,3,2,4,3,5,4,3,5,3,3,3,3,5,2,3,4,3,3,4,2,2,5,4,5,4,2,5,3,5,2,2,4
/images/db/pera.png,pera,imagen,5,3,2,2,2,2,1,4,3,4,3,3,4,2,2,3,3,4,3,3,3,2,2,2,3,3,1,5,2,2,3,4,3,3,2,3,3,3,5,3,4,3,3,3,3,3,3
/images/db/piña.png,piña,imagen,5,3,2,2,2,2,2,4,3,4,2,2,4,2,2,2,2,3,3,3,3,2,3,2,2,2,1,4,4,3,3,4,4,3,2,2,3,2,4,3,4,4,4,3,2,2,4
/images/db/manzanaVerde.png,manzanaVerde,imagen,5,3,4,2,5,3,2,4,4,4,3,3,4,2,3,3,2,3,3,3,3,2,4,3,2,3,2,4,3,2,3,4,4,3,2,2,3,2,5,4,3,3,3,3,2,2,4
/images/db/leche.png,leche,imagen,5,2,3,5,2,3,2,5,3,2,2,2,3,3,2,2,2,4,2,3,2,3,2,3,5,3,2,2,4,3,2,4,5,5,5,3,3,1,5,4,5,3,5,2,3,3,5
/images/db/sedaVerde.png,sedaVerde,imagen,1,3,5,3,1,2,4,2,2,3,3,2,2,3,3,3,3,3,2,2,3,2,4,4,2,3,5,4,2,4,3,4,4,5,3,3,4,4,3,3,5,5,3,3,2,2,4
/images/db/sedaRoja.png,sedaRoja,imagen,1,3,5,3,1,2,4,2,2,3,3,2,2,3,4,3,2,2,2,5,2,2,3,3,2,3,5,4,2,4,3,4,4,5,3,3,4,3,4,3,5,5,3,4,2,2,4
/images/db/crispetas.png,crispetas,imagen,5,4,3,4,3,3,2,5,2,2,2,3,3,4,4,4,3,3,3,5,4,3,4,5,3,4,3,4,4,3,4,5,5,5,3,3,5,2,5,5,5,3,4,3,3,3,3
/images/db/chocolate.png,chocolate,imagen,5,5,5,4,3,4,2,5,2,4,3,4,3,4,5,5,4,4,5,5,3,3,5,3,3,3,3,5,3,4,3,5,5,5,4,2,5,5,2,4,5,4,2,5,4,5,4
/images/db/vainilla.png,vainilla,imagen,4,2,3,4,2,3,3,4,3,3,2,2,2,3,3,3,3,3,3,3,3,2,3,3,4,4,2,2,4,2,2,4,4,4,3,3,3,2,4,3,4,4,3,2,3,3,3
/images/db/menta.png,menta,imagen,5,2,3,3,2,2,3,3,2,2,3,4,3,4,4,4,3,2,4,4,3,3,3,4,4,3,3,4,5,3,3,3,4,3,3,3,4,2,4,3,4,4,3,2,3,4,3
/images/db/canela.png,canela,imagen,5,2,2,3,3,2,2,4,3,2,3,2,3,3,3,3,2,2,3,3,3,3,4,3,3,4,3,2,5,2,2,5,4,4,2,4,4,2,4,3,4,3,3,2,4,5,4
/images/db/chicle.png,chicle,imagen,5,4,4,3,2,5,2,3,4,4,3,5,2,5,3,4,2,3,3,3,2,2,4,2,4,3,5,4,2,4,4,2,2,2,4,4,3,4,3,5,2,3,2,5,2,3,5
/images/db/mani.png,mani,imagen,5,4,2,4,2,3,2,4,3,3,4,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,2,4,2,3,4,3,4,3,3,3,4,2,3,5,3,3,2,4,3,3
/images/db/chocolateTaza.png,chocolateTaza,imagen,5,3,2,5,3,5,2,5,4,4,4,5,4,5,4,4,3,4,4,4,4,4,4,4,4,4,2,2,5,3,3,5,5,5,3,3,5,4,2,4,3,3,4,3,5,4,5
/images/db/italica.png,italica,imagen,2,3,4,3,3,5,3,3,3,3,3,2,2,3,4,4,3,4,4,4,2,4,4,2,2,4,4,3,3,3,3,3,3,4,2,3,4,2,3,3,3,2,4,3,3,2,5
